time,open,high,low,close,volume,volume ma,rsi,histogram,macd,signal
1264775400,7.181421,7.221421,6.794636,6.859386,1245952412,776110038.4,37.9232351259199,-0.0700647015759466,-0.0364202134398948,0.0336444881360519
1265034600,6.87035,6.999993,6.832136,6.954636,749874348,795983201,40.9253695537263,-0.0744796631870916,-0.0594550908478126,0.015024572339279
1265121000,6.996779,7.011422,6.906422,6.994993,698341752,806213851.2,42.2008134490715,-0.0709040152762515,-0.0736054467560354,-0.00270143147978391
1265207400,6.97035,7.149993,6.943564,7.11535,615327716,806885000.6,45.9488389401436,-0.0572404317941914,-0.0742519712225231,-0.0170115394283318
1265293800,7.026064,7.084636,6.841779,6.858922,757651636,817159644.4,39.9977654504107,-0.0618852692949401,-0.0943681260470068,-0.0324828567520668
1265380200,6.879457,6.999993,6.816065,6.980708,850306192,835818459.8,43.7255325422933,-0.0534841973676789,-0.0993381034616654,-0.0458539060939865
1265639400,6.988922,7.067136,6.928565,6.93285,478268700,837338057.8,42.605353655821,-0.0480509826808885,-0.105917634445097,-0.0578666517642086
1265725800,7.014993,7.053564,6.95535,7.006779,632884856,845870804.6,44.9514359386003,-0.0368811017747127,-0.1039680289826,-0.0670869272078868
1265812200,6.996064,7.021422,6.93785,6.968422,370361296,834665876.6,43.9476931834291,-0.0297829039425795,-0.104315557136111,-0.0745326531935317
1265898600,6.959993,7.133921,6.930707,7.09535,550344356,831888587.4,48.0792814565126,-0.0149928736125738,-0.0932737452092489,-0.0782808715966751
1265985000,7.07535,7.201421,6.982136,7.156421,655468108,843004289,49.9893473318458,-0.000325737612055163,-0.0786880436117441,-0.0783623059996889
1266330600,7.212136,7.274636,7.197136,7.264278,543951836,840485025.6,53.259717924595,0.0164820107394405,-0.0577597925753883,-0.0742418033148288
1266417000,7.292493,7.296778,7.173564,7.233921,436395304,825804424.8,52.2245650889027,0.0248923030765654,-0.0431264244691221,-0.0680187275456875
1266503400,7.201064,7.281778,7.175707,7.247421,422824808,816338050.6,52.6651666864881,0.0303404679361231,-0.0300931426255335,-0.0604336105616567
1266589800,7.209279,7.257136,7.182493,7.202493,415734248,806717023.8,50.9801262549046,0.0298485363488728,-0.0231229401255657,-0.0529714764744385
1266849000,7.226421,7.232136,7.113921,7.157707,390825032,782169857,49.2872269750164,0.0256002865104225,-0.0209711183364103,-0.0465714048468329
1266935400,7.14285,7.19035,6.989636,7.037815,575313660,757650523.6,44.9810451066826,0.0143689117504772,-0.0286102651587363,-0.0429791769092135
1267021800,7.079636,7.194279,7.065707,7.166279,460566020,687323237,50.0198912664933,0.0151661668579203,-0.0240214683368132,-0.0391876351947335
1267108200,7.049279,7.244993,7.031779,7.214279,665397144,634464605,51.7963028327723,0.0182913494393305,-0.0163234483955703,-0.0346147978349008
1267194600,7.22785,7.327493,7.214279,7.30785,507460856,601162514,55.143322146545,0.0255783496994398,-0.00264186071060113,-0.0282202104100409
1267453800,7.348207,7.482135,7.337493,7.463921,550093028,566369544.8,60.1175464255832,0.0390222058135892,0.0205575468569457,-0.0184646589566436
1267540200,7.497492,7.529635,7.419279,7.458921,566544948,557203074.8,59.8884208372192,0.0452521963173047,0.0381005864399873,-0.00715160987731741
1267626600,7.462135,7.49535,7.426421,7.476064,372239148,540897944.6,60.4450610386901,0.0479440648363539,0.052778471168125,0.00483440633177106
1267713000,7.474278,7.53285,7.451064,7.52535,366040108,528433564.2,62.07456999903,0.0502192117905996,0.0676084210700205,0.017389209279421
1267799400,7.676421,7.846421,7.665349,7.819635,899619392,535531952,70.017100628734,0.0676347028541123,0.101932587847061,0.034297884992949
1268058600,7.857492,7.860349,7.794635,7.824278,429889356,514511110.2,70.123410756924,0.0749884905164476,0.128033498138509,0.0530450076220609
1268145000,7.796778,8.035706,7.781778,7.964992,920259672,536610658.8,73.2222458974103,0.0841631191085286,0.158248906507722,0.0740857873991931
1268231400,7.993903,8.052849,7.971421,8.029992,596217364,534777284.2,74.5361171628146,0.0889743509574842,0.185303726096048,0.0963293751385642
1268317800,7.996778,8.053563,7.975707,8.053563,405698956,536544167.2,75.0148681101944,0.0879517849993913,0.206269106387803,0.118317321388412
1268404200,8.120349,8.133206,8.062492,8.092849,416322896,529843094.2,75.830505405542,0.0841287468705816,0.223478254976639,0.139349508106057
1268659800,8.049278,8.053563,7.866064,7.994278,493500716,521744724.6,69.6837884297622,0.0697613789027859,0.22655123173454,0.156789852831754
1268746200,8.00642,8.034992,7.946777,8.016063,446907016,516892483.6,70.25759878185,0.0570600288919939,0.228114888946746,0.171054860054752
1268832600,8.032134,8.087492,7.973921,8.004278,450956408,517620538.8,69.4913306160802,0.0437963220938111,0.225800262672016,0.182003940578205
1268919000,8.003564,8.035706,7.950349,8.023206,342108820,513584739.4,70.0562078910875,0.032735657615245,0.222923512597261,0.190187854982016
1269005400,8.028206,8.044278,7.901064,7.937488,559445036,520770278.8,64.2541261379697,0.0168827612581299,0.211291306554679,0.194408545296549
1269264600,7.873921,8.071421,7.862492,8.026778,456418936,524049974,67.29287664444,0.00998734430467158,0.206892725677388,0.196905381372717
